2021-06-30 19:06:97 INFO  HomePage :27 - Clicking on Computer Link : [[[ChromeDriver: chrome on WINDOWS (e7370bc4cafa4594a16f25c42762c8ce)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e7370bc4cafa4594a16f25c42762c8ce)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e7370bc4cafa4594a16f25c42762c8ce)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e7370bc4cafa4594a16f25c42762c8ce)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e7370bc4cafa4594a16f25c42762c8ce)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e7370bc4cafa4594a16f25c42762c8ce)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e7370bc4cafa4594a16f25c42762c8ce)] -> xpath: //div[@class='header-menu']/ul[1]/li/a]]
2021-06-30 19:06:933 INFO  HomePage :47 - Verifying Top Menu Pages : [[ChromeDriver: chrome on WINDOWS (e7370bc4cafa4594a16f25c42762c8ce)] -> xpath: //div[@class='page-title']/h1]
2021-06-30 19:06:02 INFO  HomePage :47 - Verifying Top Menu Pages : [[ChromeDriver: chrome on WINDOWS (e7370bc4cafa4594a16f25c42762c8ce)] -> xpath: //div[@class='page-title']/h1]
2021-06-30 19:06:176 INFO  BasePage :30 - Launching Chrome Browser....
2021-06-30 19:06:152 INFO  HomePage :27 - Clicking on Computer Link : [[[ChromeDriver: chrome on WINDOWS (bdbc2f18bbcd566d7111f04b7dca436d)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (bdbc2f18bbcd566d7111f04b7dca436d)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (bdbc2f18bbcd566d7111f04b7dca436d)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (bdbc2f18bbcd566d7111f04b7dca436d)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (bdbc2f18bbcd566d7111f04b7dca436d)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (bdbc2f18bbcd566d7111f04b7dca436d)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (bdbc2f18bbcd566d7111f04b7dca436d)] -> xpath: //div[@class='header-menu']/ul[1]/li/a]]
2021-06-30 19:06:958 INFO  HomePage :47 - Verifying Top Menu Pages : [[ChromeDriver: chrome on WINDOWS (bdbc2f18bbcd566d7111f04b7dca436d)] -> xpath: //div[@class='page-title']/h1]
2021-06-30 19:06:23 INFO  HomePage :47 - Verifying Top Menu Pages : [[ChromeDriver: chrome on WINDOWS (bdbc2f18bbcd566d7111f04b7dca436d)] -> xpath: //div[@class='page-title']/h1]
2021-06-30 19:06:703 INFO  BasePage :30 - Launching Chrome Browser....
2021-06-30 19:06:698 INFO  HomePage :27 - Clicking on Computer Link : [[[ChromeDriver: chrome on WINDOWS (3f7857990111112faca67a93c6b8135c)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (3f7857990111112faca67a93c6b8135c)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (3f7857990111112faca67a93c6b8135c)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (3f7857990111112faca67a93c6b8135c)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (3f7857990111112faca67a93c6b8135c)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (3f7857990111112faca67a93c6b8135c)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (3f7857990111112faca67a93c6b8135c)] -> xpath: //div[@class='header-menu']/ul[1]/li/a]]
2021-06-30 19:06:863 INFO  HomePage :47 - Verifying Top Menu Pages : [[ChromeDriver: chrome on WINDOWS (3f7857990111112faca67a93c6b8135c)] -> xpath: //div[@class='page-title']/h1]
2021-06-30 19:06:930 INFO  HomePage :47 - Verifying Top Menu Pages : [[ChromeDriver: chrome on WINDOWS (3f7857990111112faca67a93c6b8135c)] -> xpath: //div[@class='page-title']/h1]
2021-06-30 19:06:999 INFO  BasePage :30 - Launching Chrome Browser....
2021-06-30 19:06:621 INFO  HomePage :27 - Clicking on Computer Link : [[[ChromeDriver: chrome on WINDOWS (00b53bb6fbac5f32f5ed9d414262445f)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (00b53bb6fbac5f32f5ed9d414262445f)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (00b53bb6fbac5f32f5ed9d414262445f)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (00b53bb6fbac5f32f5ed9d414262445f)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (00b53bb6fbac5f32f5ed9d414262445f)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (00b53bb6fbac5f32f5ed9d414262445f)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (00b53bb6fbac5f32f5ed9d414262445f)] -> xpath: //div[@class='header-menu']/ul[1]/li/a]]
2021-06-30 19:06:829 INFO  HomePage :47 - Verifying Top Menu Pages : [[ChromeDriver: chrome on WINDOWS (00b53bb6fbac5f32f5ed9d414262445f)] -> xpath: //div[@class='page-title']/h1]
2021-06-30 19:06:936 INFO  HomePage :47 - Verifying Top Menu Pages : [[ChromeDriver: chrome on WINDOWS (00b53bb6fbac5f32f5ed9d414262445f)] -> xpath: //div[@class='page-title']/h1]
2021-06-30 19:06:137 INFO  BasePage :30 - Launching Chrome Browser....
2021-06-30 19:06:479 INFO  HomePage :27 - Clicking on Computer Link : [[[ChromeDriver: chrome on WINDOWS (7fefaae711e68fd179ffe46aa2255144)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7fefaae711e68fd179ffe46aa2255144)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7fefaae711e68fd179ffe46aa2255144)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7fefaae711e68fd179ffe46aa2255144)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7fefaae711e68fd179ffe46aa2255144)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7fefaae711e68fd179ffe46aa2255144)] -> xpath: //div[@class='header-menu']/ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (7fefaae711e68fd179ffe46aa2255144)] -> xpath: //div[@class='header-menu']/ul[1]/li/a]]
2021-06-30 19:06:929 INFO  HomePage :47 - Verifying Top Menu Pages : [[ChromeDriver: chrome on WINDOWS (7fefaae711e68fd179ffe46aa2255144)] -> xpath: //div[@class='page-title']/h1]
2021-06-30 19:06:113 INFO  HomePage :47 - Verifying Top Menu Pages : [[ChromeDriver: chrome on WINDOWS (7fefaae711e68fd179ffe46aa2255144)] -> xpath: //div[@class='page-title']/h1]
